0 30
0.01 29.8502
0.02 29.7003
0.03 29.5505
0.04 29.4007
0.05 29.2508
0.06 29.101
0.07 28.9511
0.08 28.8013
0.09 28.6514
0.1 28.5015
0.11 28.3517
0.12 28.2018
0.13 28.0519
0.14 27.902
0.15 27.7521
0.16 27.6022
0.17 27.4522
0.18 27.3023
0.19 27.1524
0.2 27.0024
0.21 26.8525
0.22 26.7025
0.23 26.5525
0.24 26.4025
0.25 26.2525
0.26 26.1025
0.27 25.9525
0.28 25.8025
0.29 25.6524
0.3 25.5024
0.31 25.3523
0.32 25.2023
0.33 25.0522
0.34 24.9021
0.35 24.752
0.36 24.6019
0.37 24.4518
0.38 24.3017
0.39 24.1516
0.4 24.0014
0.41 23.8513
0.42 23.7012
0.43 23.551
0.44 23.4009
0.45 23.2508
0.46 23.1006
0.47 22.9505
0.48 22.8003
0.49 22.6502
0.5 22.5
0.51 22.3498
0.52 22.1997
0.53 22.0496
0.54 21.8994
0.55 21.7493
0.56 21.5991
0.57 21.449
0.58 21.2989
0.59 21.1487
0.6 20.9986
0.61 20.8485
0.62 20.6984
0.63 20.5483
0.64 20.3982
0.65 20.2481
0.66 20.098
0.67 19.948
0.68 19.7979
0.69 19.6478
0.7 19.4978
0.71 19.3478
0.72 19.1977
0.73 19.0477
0.74 18.8977
0.75 18.7477
0.76 18.5977
0.77 18.4477
0.78 18.2978
0.79 18.1478
0.8 17.9978
0.81 17.8479
0.82 17.698
0.83 17.548
0.84 17.3981
0.85 17.2482
0.86 17.0983
0.87 16.9484
0.88 16.7985
0.89 16.6486
0.9 16.4987
0.91 16.3488
0.92 16.1989
0.93 16.0491
0.94 15.8992
0.95 15.7493
0.96 15.5995
0.97 15.4496
0.98 15.2997
0.99 15.1499
1 15
